synthetic_pair_uid,duplication_control_pair_uid,parent_pair_uid,parent_seller_uid_left,parent_seller_uid_right,component_id,fold,review_label,evidence_type,track,seed,variant_index,transform,left_profile_sha256,right_profile_sha256,parent_training_sample_weight,child_training_sample_weight,synthetic_train_only,benchmark_eligible
synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_000/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_000/negative/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260328/silver_sensitivity_matched_000/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,template_clone_not_controller,silver_sensitivity,20260328,0,section_order_rotation,9a9689e08132c33ae87ce4802205d7f95b698ed6ef639e97d6f68a422141c4cd,d5768db5978d722fe9cbbe3223423b401c1b027f0e5982df820ce28fa19e9cd6,0.120000000000,0.060000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_000/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_000/positive/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260328/silver_sensitivity_matched_000/positive/v00,market_item.xlsx|中文暗网交易市场|seller_raw:54210||market_item.xlsx|茶马古道|seller_raw:/shop/400997,market_item.xlsx|中文暗网交易市场|seller_raw:54210,market_item.xlsx|茶马古道|seller_raw:/shop/400997,zh_target_strict_cc_f7f70f2184be4bbd,0,positive,same_controller_direct_identifier,silver_sensitivity,20260328,0,section_order_rotation,e438fe2c42f22603a194ae1627e9262e12735b3dc6ca74d04d4b1d92f1e206ed,3675c6d30dd1622199f2a0a7bc9c6fab1fa454a83a12937e50b1685c685983ff,0.550000000000,0.275000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_001/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_001/negative/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260328/silver_sensitivity_matched_001/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:36073||market_item.xlsx|茶马古道|seller_raw:/shop/6101,market_item.xlsx|中文暗网交易市场|seller_raw:36073,market_item.xlsx|茶马古道|seller_raw:/shop/6101,zh_target_strict_cc_50c6ef9245347923,3,negative,template_clone_not_controller,silver_sensitivity,20260328,0,section_order_rotation,9fb76fb516225c69b26f5e0c4950153a71e8d32b05456fb8665204cb96710085,47d7cfaf9b117968a3cec02ff5c050539136d09b41ae20d1cc63080ea40add2a,0.120000000000,0.060000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_001/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_001/positive/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260328/silver_sensitivity_matched_001/positive/v00,market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:157835,market_item.xlsx|中文暗网交易市场|seller_raw:121394,market_item.xlsx|中文暗网交易市场|seller_raw:157835,zh_target_strict_cc_8d579273f8d400c6,3,positive,same_controller_direct_identifier,silver_sensitivity,20260328,0,section_order_rotation,5da4e45104d0614b3c4e3b835a9e3008f33c9b93540732252d0e679775bf3549,b1e0c2e53b72b0f734c6a854de978c84413eaa04f61acf7f6242468e0d12edf4,0.550000000000,0.275000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_002/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_002/negative/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260328/silver_sensitivity_matched_002/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:603220||market_item.xlsx|茶马古道|seller_raw:/shop/396767,market_item.xlsx|中文暗网交易市场|seller_raw:603220,market_item.xlsx|茶马古道|seller_raw:/shop/396767,zh_target_strict_cc_ccff1905755794ed,2,negative,template_clone_not_controller,silver_sensitivity,20260328,0,section_order_rotation,3004b328754b0a98232e118c30ee06c23bc267bf75620752b2a70f98e0cf12d2,0d9c9c3c947d02585e3e16b12f78411c9bd6c88dc1f4dceca8a0ffc619a8aa41,0.120000000000,0.060000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_002/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_002/positive/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260328/silver_sensitivity_matched_002/positive/v00,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:45068,market_item.xlsx|中文暗网交易市场|seller_raw:361068,market_item.xlsx|中文暗网交易市场|seller_raw:45068,zh_target_strict_cc_540db623f3f9599c,2,positive,same_controller_direct_identifier,silver_sensitivity,20260328,0,section_order_rotation,234142cd8eea882e315e7b6f419641e31f9a030ca99871a2e719bb9bc39b0c03,303e0f076dadd2849987fbb9c4a2cfe82493ab79a2dac1a293af61f8b6e6889c,0.550000000000,0.275000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_003/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_003/negative/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260328/silver_sensitivity_matched_003/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:546317||market_item.xlsx|茶马古道|seller_raw:/shop/404772,market_item.xlsx|中文暗网交易市场|seller_raw:546317,market_item.xlsx|茶马古道|seller_raw:/shop/404772,zh_target_strict_cc_3b05f980bd46ca48,2,negative,template_clone_not_controller,silver_sensitivity,20260328,0,section_order_rotation,d367bce6f9cbfab2f5cde6e52aed813b4d0c0570b776287a2109f01a43743e75,a748aa45ad017770d06138fb48b466007453f06337570a7b690effa3215fe6f9,0.160000000000,0.080000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_003/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_003/positive/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260328/silver_sensitivity_matched_003/positive/v00,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:596304,market_item.xlsx|中文暗网交易市场|seller_raw:361068,market_item.xlsx|中文暗网交易市场|seller_raw:596304,zh_target_strict_cc_540db623f3f9599c,2,positive,same_controller_direct_identifier,silver_sensitivity,20260328,0,section_order_rotation,4c7302bbc29192298433d8a100366529e22b1a6453bce91f2248c082342f2cbc,cdb75d3a973bbeeacac28cf3b0df04134fc50718597d2cbf3dfc574e88f21b51,0.550000000000,0.275000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_004/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_004/negative/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260328/silver_sensitivity_matched_004/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:593428||market_item.xlsx|茶马古道|seller_raw:/shop/433481,market_item.xlsx|中文暗网交易市场|seller_raw:593428,market_item.xlsx|茶马古道|seller_raw:/shop/433481,zh_target_strict_cc_e01a2866bbaf02be,3,negative,template_clone_not_controller,silver_sensitivity,20260328,0,section_order_rotation,21541d8d5993e2e6727dff0b2dc963804313e0ace10abcf32a257b6bb1b9d515,5d23e38d1d102addeb0d9ccd03b936c61fa325b34ebb430c9f7f9acb78069a87,0.120000000000,0.060000000000,1,0
synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_004/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260328/silver_sensitivity_matched_004/positive/v00/right,synthetic://step27/v1_1/duplication/silver_sensitivity/seed_20260328/silver_sensitivity_matched_004/positive/v00,market_item.xlsx|中文暗网交易市场|seller_raw:157835||market_item.xlsx|中文暗网交易市场|seller_raw:435064,market_item.xlsx|中文暗网交易市场|seller_raw:157835,market_item.xlsx|中文暗网交易市场|seller_raw:435064,zh_target_strict_cc_8d579273f8d400c6,3,positive,same_controller_direct_identifier,silver_sensitivity,20260328,0,section_order_rotation,7ee8c282d929d418b81c67ff08326f31ea6ee970d3a99dc937f8bb1c112055dd,cf81d58e7e7c679ad34a78d04f08dfc8f09fa9431c3e1410abbe282f303bc509,0.550000000000,0.275000000000,1,0
