synthetic_seller_uid,parent_seller_uid,parent_pair_uid,component_id,fold,review_label,track,seed,variant_index,transform,source_field,segment_index,text,source_market_raw,identifier_value,synthetic_train_only
synthetic://step27/v1_1/silver_sensitivity/seed_20260329/silver_sensitivity_matched_000/negative/v00/left,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,silver_sensitivity,20260329,0,section_order_rotation,category_concat_top,0,其它类别,,,1
synthetic://step27/v1_1/silver_sensitivity/seed_20260329/silver_sensitivity_matched_000/negative/v00/left,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,silver_sensitivity,20260329,0,section_order_rotation,category_concat_top,1,基础知识,,,1
synthetic://step27/v1_1/silver_sensitivity/seed_20260329/silver_sensitivity_matched_000/negative/v00/left,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,silver_sensitivity,20260329,0,section_order_rotation,category_concat_top,2,虚拟物品,,,1
synthetic://step27/v1_1/silver_sensitivity/seed_20260329/silver_sensitivity_matched_000/negative/v00/left,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,silver_sensitivity,20260329,0,section_order_rotation,signature_title_concat,0,撸包套路上门裸聊卖货所需要的美女照视频资源,,,1
synthetic://step27/v1_1/silver_sensitivity/seed_20260329/silver_sensitivity_matched_000/negative/v00/left,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,silver_sensitivity,20260329,0,section_order_rotation,signature_title_concat,1,英雄联盟l限量皮肤坑人项目揭密,,,1
synthetic://step27/v1_1/silver_sensitivity/seed_20260329/silver_sensitivity_matched_000/negative/v00/left,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,silver_sensitivity,20260329,0,section_order_rotation,signature_title_concat,2,教你如何在QQ微信上找到可以做爱的女人,,,1
synthetic://step27/v1_1/silver_sensitivity/seed_20260329/silver_sensitivity_matched_000/negative/v00/left,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,silver_sensitivity,20260329,0,section_order_rotation,signature_title_concat,3,做微信一手号商自己注册自己卖,,,1
synthetic://step27/v1_1/silver_sensitivity/seed_20260329/silver_sensitivity_matched_000/negative/v00/left,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,silver_sensitivity,20260329,0,section_order_rotation,title_concat_top,0,教你如何在QQ微信上找到可以做爱的女人,,,1
synthetic://step27/v1_1/silver_sensitivity/seed_20260329/silver_sensitivity_matched_000/negative/v00/left,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,silver_sensitivity,20260329,0,section_order_rotation,title_concat_top,1,做微信一手号商自己注册自己卖,,,1
synthetic://step27/v1_1/silver_sensitivity/seed_20260329/silver_sensitivity_matched_000/negative/v00/left,market_item.xlsx|中文暗网交易市场|seller_raw:494256,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,silver_sensitivity,20260329,0,section_order_rotation,title_concat_top,2,撸包套路上门裸聊卖货所需要的美女照视频资源,,,1
