seller_uid,split_name,title_log1p_character_count,title_digit_character_ratio,title_punctuation_character_ratio,title_symbol_character_ratio,title_space_character_ratio,title_newline_per_100_characters,title_sentence_boundary_per_100_characters,title_bracket_character_ratio,title_delimiter_character_ratio,title_repeated_punctuation_character_ratio,title_bullet_line_share,description_log1p_character_count,description_digit_character_ratio,description_punctuation_character_ratio,description_symbol_character_ratio,description_space_character_ratio,description_newline_per_100_characters,description_sentence_boundary_per_100_characters,description_bracket_character_ratio,description_delimiter_character_ratio,description_repeated_punctuation_character_ratio,description_bullet_line_share
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Actorian,train,3.295836866004,0.076923076923,0.000000000000,0.000000000000,0.153846153846,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,4.219507705176,0.029850746269,0.000000000000,0.000000000000,0.134328358209,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:DomCobb,train,3.178053830348,0.000000000000,0.000000000000,0.000000000000,0.173913043478,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,4.709530201312,0.018181818182,0.018181818182,0.000000000000,0.172727272727,0.000000000000,1.818181818182,0.000000000000,0.000000000000,0.000000000000,0.000000000000
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:JeanClochard,train,3.555348061489,0.000000000000,0.088235294118,0.000000000000,0.121212121212,0.000000000000,0.000000000000,0.058823529412,0.030303030303,0.000000000000,1.000000000000,5.129898714923,0.000000000000,0.049109328513,0.000000000000,0.173913043478,0.000000000000,2.950083542189,0.000000000000,0.009015100293,0.018181818182,0.000000000000
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:Kript0x,valid,3.295836866004,0.000000000000,0.076923076923,0.000000000000,0.192307692308,0.000000000000,0.000000000000,0.076923076923,0.000000000000,0.000000000000,0.000000000000,5.267858159063,0.000000000000,0.072538860104,0.000000000000,0.170984455959,0.000000000000,2.072538860104,0.000000000000,0.051813471503,0.062176165803,0.000000000000
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:MoneySell,train,3.526360524616,0.000000000000,0.080000000000,0.000000000000,0.121212121212,0.000000000000,0.000000000000,0.060606060606,0.030303030303,0.000000000000,1.000000000000,5.129898714923,0.000000000000,0.042342836257,0.000000000000,0.173266045549,0.000000000000,2.923976608187,0.000000000000,0.006201996928,0.017857142857,0.000000000000
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:XanaxKing,valid,3.258096538021,0.160000000000,0.000000000000,0.000000000000,0.160000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,4.317488113536,0.027027027027,0.040540540541,0.000000000000,0.148648648649,0.000000000000,4.054054054054,0.000000000000,0.000000000000,0.000000000000,0.000000000000
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:bestcocaine,train,3.332204510175,0.037037037037,0.000000000000,0.000000000000,0.148148148148,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.079441541680,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
2017-12-05-philipjames11-darknetmarketplacedataagora20142015.xlsx|agora|seller_raw:steveohjo,valid,2.944438979166,0.166666666667,0.000000000000,0.000000000000,0.166666666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,4.727387818712,0.000000000000,0.017857142857,0.000000000000,0.160714285714,0.000000000000,1.785714285714,0.000000000000,0.000000000000,0.000000000000,0.000000000000
market_item.xlsx|Cartel|seller_raw:AUSXXX,valid,4.007333185232,0.033333333333,0.083333333333,0.000000000000,0.133333333333,0.000000000000,1.666666666667,0.000000000000,0.000000000000,0.074074074074,0.000000000000,5.963579343618,0.007731958763,0.082474226804,0.000000000000,0.146907216495,2.319587628866,0.257731958763,0.000000000000,0.018041237113,0.059278350515,0.800000000000
market_item.xlsx|Cartel|seller_raw:Dr_Heizen,train,3.921924319076,0.040000000000,0.010000000000,0.000000000000,0.151428571429,0.000000000000,0.000000000000,0.000000000000,0.010000000000,0.000000000000,0.000000000000,6.512697111131,0.023994076628,0.037906264850,0.001487473616,0.133007326857,2.010520615765,1.189978892462,0.002974947231,0.023031528694,0.005949894462,0.000000000000
