model_id,slice_name,row_count,positive_count,negative_count,roc_auc,average_precision,score_mean,positive_score_mean,negative_score_mean,negative_score_p90,negative_score_max,positive_score_min,positive_score_p10
raw_e5_cosine,all,106,21,85,0.806723,0.520573,0.918121,0.938503,0.913085,0.938058,0.966964,0.890773,0.915197
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,all,106,21,85,0.842017,0.588995,0.351205,0.583074,0.29392,0.619481,0.7813686666666667,0.26440166666666665,0.354741
step15_v2_identity_from_scratch_phase4_seed_mean,all,106,21,85,0.889636,0.699299,0.190996,0.539556,0.104882,0.325418,0.88946,0.03737566666666667,0.091906
step15_v2_warm_start_phase4_seed_mean,all,106,21,85,0.885714,0.689943,0.202493,0.562819,0.113471,0.401322,0.9480369999999999,0.04607433333333333,0.047271
step15_v2_domain_balanced_phase4_seed_mean,all,106,21,85,0.901401,0.714371,0.267099,0.67307,0.1668,0.580271,0.9583526666666667,0.095412,0.245991
step15_v2_zh_positive_mixup_phase4_seed_mean,all,106,21,85,0.892997,0.693178,0.241102,0.625681,0.146088,0.600559,0.9364473333333333,0.053607999999999996,0.130946
step15_v2_identifier_operational_phase4_seed_mean,all,106,21,85,0.882913,0.745849,0.178118,0.51618,0.094597,0.310762,0.642478,0.020097666666666666,0.049525
step15_v3_public_noise_weighted_phase4_seed_mean,all,106,21,85,0.893557,0.676713,0.195825,0.53935,0.110954,0.347784,0.959366,0.032588,0.115062
step15_v3_domain_balanced_public_noise_weighted_phase4_seed_mean,all,106,21,85,0.904202,0.715721,0.242622,0.624759,0.148212,0.506511,0.867701,0.05098166666666667,0.267791
step15_v3_identifier_public_noise_weighted_phase4_seed_mean,all,106,21,85,0.886835,0.735422,0.152865,0.46581,0.075549,0.225813,0.666062,0.026883,0.049932
step15_v4_public_noise_robust_phase4_seed_mean,all,106,21,85,0.890756,0.71015,0.213499,0.515449,0.1389,0.329027,0.7561513333333334,0.07680266666666667,0.15725
step15_v4_domain_balanced_public_noise_robust_phase4_seed_mean,all,106,21,85,0.845938,0.582864,0.321859,0.504366,0.276768,0.570626,0.742644,0.255183,0.31782
step15_v4_identifier_public_noise_robust_phase4_seed_mean,all,106,21,85,0.884594,0.726104,0.156434,0.447763,0.084458,0.294841,0.5022073333333333,0.033056666666666665,0.064609
step15_v5_public_noise_weighted_strong_phase4_seed_mean,all,106,21,85,0.904202,0.701809,0.197854,0.538223,0.113763,0.39447,0.8744719999999999,0.04082499999999999,0.143293
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,all,106,21,85,0.913725,0.738951,0.223562,0.601534,0.130181,0.458342,0.8562773333333333,0.058593666666666655,0.221781
raw_e5_cosine,evidence_type::ordinary_negative,61,0,61,,,0.914234,,0.914234,0.938096,0.966964,,
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,evidence_type::ordinary_negative,61,0,61,,,0.28204,,0.28204,0.620935,0.7395843333333333,,
step15_v2_identity_from_scratch_phase4_seed_mean,evidence_type::ordinary_negative,61,0,61,,,0.057131,,0.057131,0.106907,0.88946,,
step15_v2_warm_start_phase4_seed_mean,evidence_type::ordinary_negative,61,0,61,,,0.064703,,0.064703,0.089225,0.9480369999999999,,
