pair_uid,account_left_uid,account_right_uid,split
cdab9ec6b66f79ecce93feb7a5bcdf8506c625331c3eb4b2b8899e0dc80a5c62,1f1c7b4c5eb26ce1b37c7bb994007c09ef1d39d5d9ef2c7c5e26caaf513a99f3,dd0b9c1fb005e7e2a8d5a57d2d673842695575966983d8263f847ff2392ab731,train
d3c83c1bd8fbd295883736f7dcb8230343e4cdf71379e876e0bb303698c1c3ad,9589310a8be2ca9285ee43ecc63cf38c352d729902a93a13dccb025285a312f3,8d92f8348b3593e08aa26107726cf27da174ad81dac2cb972561399bcc400929,synthetic_audit
03a2a7be6e174bddf3203ba349d082f4930d47c3ce86c20a531d628224fe1395,e11594e5db14688f607dd001feb9c792fd6464589fa437a5ef00eeb92a442b6c,d58a668d471e3a55d623207270a990743f20e363ce4a35535fbb732a8cc6bcfd,train
f79d0631fb28da6afb17d916dc04e5778b623bdf2bec1c94c53c3a283028b427,9ae4b3f0400cbbe62a074e584a09219e8b5df2ed8395250768141f407d02c57e,7e6e290a0d50a91c5a3c7e4c03bf609ff22e70d07a280fe43ccd20c0e6c69735,train
61ac7be3b0fb953d64a1b0abe86817c4ac28e03f6c6aa9f064156705f34d537d,d2527cdb60b877300308a1b56992d43c27026fa8caa3d4379b5f5cdac9ceae0b,945a1e1e581c0620948906cedaca4b0b5c409410929a021ad199ac5303550df1,train
b1b19fe82819e987f65ef5371ef7bfd10f9100975153b6ee928bf308f2da2a43,b0eb8685c76ae2105fc8568feaa4371a68e2cf9f921ca6160b7ef6ec9217e1f9,1203611ed4494992cf948d5018497ac914570b6e03ec80c0c6dbfe69cb2fd75f,synthetic_audit
364b9a3b651f06d7777b64891b33f5a58e3cf03ca3b93686166347fcd18c9025,c5bd1e75e4f3107be56285efd456f6e90fd9afe553ee72cfb0a375d02c0ad1a1,d237a41156e70a7cc79cbe0bc67d540099e0afb19c382c1ecfa36b3f3cbd9838,train
8a3fafe7eb60ef16858285505fc5be3d4ff4760a48ee7e458db364262546c0b4,b29f0dfe6891f3ef6a654ee66524faee5bf2453681d7bc3a8c5f2f11f3f006c7,7e9c0d9390bbb5200f980bab218a65a7c4d2b2302899ee2ae0cc0f52fe050f0b,synthetic_audit
661ad5c4510bf9eed7829451d0efce1072f7898aca5643bede0a341c1fae14af,670acea37c5a568f02885488c16536e160076923be8db6bf486900e656c83f12,60ff91d4ae2902671f5cb58c372ed989ce0393f59fa398dd6d0548f1694c20cc,train
a09dc716738a4b8c25a4be37e00b85d92d93cc41dfc029600edb6c9b7b968ea5,5e732dff5e23a8494f5b5264922c326d43927921a7116f67770d9120c2347ab3,904ee9a43dd4224f2f1a1e20b3d61034ec17c0777d8952a185ed5a3618adde8d,train
374f02ac82ed537fd9ec2df04ab19bf63bec8ea1d091a3a41f26c58ae6d6ecbb,62a29dd18ffc73deeeb7babad01e19b2b456381eec4408a90cf8fa6ce823bb2d,ce3be23635422dc1c2976fba0affc953270102b490403a29edbdae3676caeba1,train
7bd4cfa68eb9c88dbae3b16a88b26062f47a04d4b4a00dff64b3748649062b2f,55a0fd3f227714caab463a64a1e9f479f24643241108a53909bf56044863334c,cd3f90ee822ae3eb3f4aff189b5cbd8a1f3234180a2c35a81330a8b2e88d1a2e,train
294e01caee0b193327f547caaeed6db43e60236ec9641a5e2e94135a689a65eb,7e6e290a0d50a91c5a3c7e4c03bf609ff22e70d07a280fe43ccd20c0e6c69735,d237a41156e70a7cc79cbe0bc67d540099e0afb19c382c1ecfa36b3f3cbd9838,train
965a438fa5812fe94eb04c94b2194db5ffc93ccc09604d996e655a5efae23d1a,69ace303fbf598ef3edfbd41c1a7e2542623e87d20c3b67bdbe9c2d29e127201,7cb3ea2ef4051a2c410be9925024a9a897c9036a55875b582fa25531a970b525,train
3e35c437c183a356898590aae4f142890b17a413b0f3e17e15463b2e0cca32dc,32b2b30498785f4f61e53113861fd45477d71338bf68d299f5d9ab42b3b56be5,b3dd7a7d42bccc06cc901c0ef24d8b6c2a7530b5dc6515f1c7f1d3e5e98718a4,development
f2b5ab88c13aabc11a2244278e1c5c4114bc5d9c9f072873326a6e73325962af,872469e59a356fc85b24ebb7fe04df7bb793df65c90c462d78124dac47fe705d,2023cfa7ef8acdc30aa8488abf5e00760613f37734fe4a48baed56f335c49ea1,synthetic_audit
17c06997861bd849b79d53bf8e8059d4611aeafeb1e5903548d01107660ec4d0,9e092e6a1b81a24f88ef9dbacb9270d475edc24217ce6dcbdc5a4e7c99e75b3e,013937e42d3db0df42d58bbc9aa3428f52cd99fe390f879e499f5c6cf150f3f5,train
f63237a965330a12aefd96d9afc92d82fa4ecef623a728961515d05980890845,152fceb542be3121ea92dbbe86b4da31a1af655305cda1dc8cf22473e56e9fdf,a7fe8e89500f6473666f2bc3b05ae2ee6e160e26c5270ff92f6d9501dd170955,train
09f9111da7b6926cc973bf9deb5f647884748f4a8e193dc02737037e07480ef9,aa078c16bb8d4228822439918c6d577d11fc66ae594fff38dac224c6b1a4630a,6cf445099fd23513bad0e18d7dc224a6aad45a73c0dd2d81bc24ddbe2ff0edd0,train
523a408713751a5373242791f82f4fe46c12916aaeb825733c71b3fe668e66d5,0257910c06a39a5528b91f7e53b4e1f3d2797e07e63cf7c18329030ec5fcc907,59dd44365e8d544704c8ffff2cc6ee767ebd09f6d5c415ce42774bf4abd22c76,development
39243dc4767f6eb46d091d66e48309635415e1292e40cc90bffe531bb6fc4d64,7c8a338cbaa3babcdc3f4ca9caea98ba3fd40338791fc38baed142b057884e0c,c4409052a2de20954fb5d8ee9be731883ae954ec143713938905bb43b2634b01,development
a5d18511f7c56a7440132da2c90eb5645af8bc2cc7492c224ac3847cec4f43d6,d7561833cc262df815466b352e07d82582902b7ee8300684346ce74f591d22f4,2249261bbd886494da9250feb88944b700a14c4e4b9670add3318e7bf871b45d,train
