pair_uid,fold_id,account_left_uid,account_right_uid
ad893f29528c740a4407f2cfe3c35a9c396814781a9bfa4711c603233aaf9e36,2,d6e091ec2a31ba39032ec6a8e91af7265be26da136d4149cdd6bff20c8734ed0,fb13e5487bd407ac4ad92b539a8072bab7e366bfb96470154bf57a287269c22b
bcb33b2c8086f3c91790aa31d7c59b61e714c4eecf850535973464bfe66e0f38,0,a969be66742d40278dceedd78ff149e0db3f9719c310952fb2262c4b5426c005,6f15b33f12b054209236ca751a032718dd598157b93ae886eb9e9effb11a9a62
65e6a2f1d41e8ee934184dcc27dfce3e96aaf9a91d265097bce05c1061d8374d,2,3f6fa34179bdf8cddf1eca2b957d5c504b4fd0b5cb2ac1d856dab2eb744375a6,f5fee45330b28f55ed571f781faa489414c8fbbcbfd864e259db9b6f0a859644
8d61dbd975b1b5c94f1c9e1be263a0a7937bba3be0f6d533e3f83e923d6a7e6a,3,77feb82601ded0b666bcede20d7e005dbbe498200d69fc66cbb13d0758e8048d,3e432c7828e8a76c68ac2ad6088b5aee259b649b645f401df15c8f4d40aae4f3
56774b387bcb1be1b90170ddab2e7314087d359a1d78f96491b30a8a5619b051,0,16a2a3604527b72b63f62e2bd17af20a690090a18431d407bb68be96a0592718,6dddb2801334dab8ebbcfa11b906fe5772edbb74bc152b43a13efd17c803048b
7e070420583a0623b1da31f92824ed9335551e6bec58c7dd5abbbd1a41f4d575,1,83dd9e22aca56d7df36f5e87ff9782da4b74f77a8d0378623b7c2f992a07aefb,7a8f05b04ea30bf837bb4e325ea74527db78c283147450f97be12d80c9fab8f5
8730063597ddb1156900e63a7b2d2019d2818b4e67114b5c3207ecea338b6f8a,2,d6e091ec2a31ba39032ec6a8e91af7265be26da136d4149cdd6bff20c8734ed0,f5fee45330b28f55ed571f781faa489414c8fbbcbfd864e259db9b6f0a859644
28fecf3467cc3016db0ba6f04403c6e99c8f3c664802e46a4a87dcc44a352c0e,3,16a8ed57461ca344f23b8602b6c8fc29f182805e880750eac7023b653f3a6a4f,cbab666cf32cfd1f32e3edad5cce905afb488e28595dd6f7a6ab5e5788e45b2f
671748c92108564c943a4c686b0eadcf6df0f2fd1adf3244a798aea7da632e91,4,b9b57208ce4075c33e5d58aba15874b8ea4b5df7aed72278323fc2d08c488442,e4440f2a8c3832f17482b3751e023d1f79296aafa529e5f8855e7697170acca1
2ce84a6d2cc576e074ce635068034d6171076686ea0dfbeef1644e1f175e5d0f,1,d62ad3d68a3ed8dcf8a0f20d359a9ba7133cd5061b4ade01967b24020a7f5eb6,1a6bd56cacfcff7f32d494a78e11ad88ac08f5371ddeef2d124b81b9504e7f97
e6abe0c544c456168e2c2656e02943872daf03535716516ce45d51f4412188cb,4,e4440f2a8c3832f17482b3751e023d1f79296aafa529e5f8855e7697170acca1,ba50276a2098f7bb5c675da0c52625219644597bb64d870c030447f63a3c8ca0
15c02f2dd6fd104757b61380d6f51570f24d2ef71fd4fee8a5f532ba9f7bcb3f,1,f728bc7ca62aed9c1d0e6aad24ecdbf4d20c38f8efcbc7920c68c069765f8e14,d62ad3d68a3ed8dcf8a0f20d359a9ba7133cd5061b4ade01967b24020a7f5eb6
9fbeb508a0c186f7956a3b7580ed05e40b9f151522c9f90538aec198ac8f5606,1,4a828e260ac8369e37c11085b015f17609c8c93c885a0c6bab2b74d4419fbce6,1a6bd56cacfcff7f32d494a78e11ad88ac08f5371ddeef2d124b81b9504e7f97
7d4849d6a3f83dad2a58e9b15cc88c80bcda7617c50c00b83eef760a7ae0691b,4,d4ef45f819417f119f88917b97bf661c7beed6c8e524aefc387a833a0c7c4dbe,b0f0956080461cc290e9890253c14eba028e8911a4421804088cc929d543a89a
ee58d4cbf24e24b138a7c0abe04587602d8f41c2b79f633bbb612846e1ce2eca,4,b79442c842430fcd0075d55af8f8f653c30f166c27eb4b1a9264f82d9843733e,b0f0956080461cc290e9890253c14eba028e8911a4421804088cc929d543a89a
f225148b6726bcddfb29bf9d6ab4bba091da4b28416727343439c00e36d93c8c,1,7a8f05b04ea30bf837bb4e325ea74527db78c283147450f97be12d80c9fab8f5,f728bc7ca62aed9c1d0e6aad24ecdbf4d20c38f8efcbc7920c68c069765f8e14
0f617519797ac842116faeb88f0b1654774b5d03cbccdd0315a021d0c1526504,0,6dddb2801334dab8ebbcfa11b906fe5772edbb74bc152b43a13efd17c803048b,6f15b33f12b054209236ca751a032718dd598157b93ae886eb9e9effb11a9a62
c76ca75dfec2514245ae848596f46b35de0dae78d419e9a0956a3b25c49c16cc,3,be4f89414a1a3c5cd0a11e39a0332a4d73bf165cfc98288653eac158f178772b,0e55a58c4c5c4bbefe0f562e8f28ca16e2b15b6ea138afad0fee89a449b9ef16
ec96130ae228825c407652d9b80890b65c3172856ed638b500f9bc455cbcdea1,3,ec9d42d74aa21d5904979030e360ca10bc1e814b27b5a6724f2634ef3465f6ec,42841f2985f9b4caee61e188633bc3a68c0e4ab183f1119396f6a26e879f0460
a4545888a3e2d4847bee4c8e33f78c06e6c0d016af651020a6c9ae6f73a668ca,2,051e77c9d71ad9355c98cc3e67420a0c567fc6e3cb84eebaac1c109ebfe493e0,8f5510980840f14b0f2e29e01dc78161d6825ed8dc6ecd554158b65f175129c0
65ceb700fc41afd21f064498c921024697c237d981f018c29f27ea8c13d4be12,4,5704001509eb9819c64c83dd4abe8c557dd1581b81f8c851b71f7a87a739cc47,f6972193190fda024f6280ca28e318337b3b5511183275d7007b48d05e4da020
6dfb2ce297af639a0ba7533d58fbdda661f924be5c1cacd204bdaa6f5b08aedc,0,a969be66742d40278dceedd78ff149e0db3f9719c310952fb2262c4b5426c005,b370089df34b3b5935e540ee4af687b5e5074f98a4da4aef870373c5f8fc38b8
94f80bf0a5fff9c4eca3da1e2dbda80c2074e45030472520b1593ddeeaefdbbe,4,18b4b2d34e5d38bf54f8c8e8f82296660654de6270ef3c652a1c155cdd6e360e,5704001509eb9819c64c83dd4abe8c557dd1581b81f8c851b71f7a87a739cc47
607a9dcbd3a6e151c9abd204af2a19d1b01a6b0ef01c48ee896c8e46d0146cbe,2,1a409131fef098461ea2eb52cc618816cc969099bacbe0602250e4902ca591fe,64e8da2e6adbc7c18acc99634c809deeace95ded3f42465b49f35f1db4714ad4
a396d3efb268356f12b0b4722d6768f4ca8fc73617819568e0cc90bb3b612d4d,2,f5fee45330b28f55ed571f781faa489414c8fbbcbfd864e259db9b6f0a859644,fb13e5487bd407ac4ad92b539a8072bab7e366bfb96470154bf57a287269c22b
9319905c16caa301aecbd3156a71ebdda4fb5fdec9ef20e5b3e6af8a3ecd8610,1,f728bc7ca62aed9c1d0e6aad24ecdbf4d20c38f8efcbc7920c68c069765f8e14,83dd9e22aca56d7df36f5e87ff9782da4b74f77a8d0378623b7c2f992a07aefb
927145f0108b7aee623ff733eb790a57f7a21c8e1b38ec214248e5ed259fa746,0,6f15b33f12b054209236ca751a032718dd598157b93ae886eb9e9effb11a9a62,16a2a3604527b72b63f62e2bd17af20a690090a18431d407bb68be96a0592718
e235c0a7e73f88f8d393be56632885a9cd7d12a35712c0bc281bc696f3bc35a8,4,18b4b2d34e5d38bf54f8c8e8f82296660654de6270ef3c652a1c155cdd6e360e,b9b57208ce4075c33e5d58aba15874b8ea4b5df7aed72278323fc2d08c488442
265512a54266b15425d0b50913e0dfdab93b560f3ee4196036f237a87846a5de,4,ba50276a2098f7bb5c675da0c52625219644597bb64d870c030447f63a3c8ca0,18b4b2d34e5d38bf54f8c8e8f82296660654de6270ef3c652a1c155cdd6e360e
b998acb79b02067eaa9b5c20d0eb8fd614c68d4ea607845427505d4c5ca8a9d1,3,42aa10c4fbd54ae38b47694cf974238c27ca2c72f50684930632c3a46f2271a1,74ba8ff7ead247feb3aaf1b9902f02ac7c1a36e2dbc803dc02f7ff87f29582f7
e78f1e6c258b6eef2a8fbc93d5ae66c0565a366d8b93b8ea6dde5c2078665633,0,de4ab0abb991629454a56e160870dc4f804282a8c25a68c26ba735dbeaa58523,a969be66742d40278dceedd78ff149e0db3f9719c310952fb2262c4b5426c005
8edb059243da3fad123e6c0d13a30c3116d0fd76c17e6c01e25d0cad1ab42111,4,f6972193190fda024f6280ca28e318337b3b5511183275d7007b48d05e4da020,b79442c842430fcd0075d55af8f8f653c30f166c27eb4b1a9264f82d9843733e
0f521ab25cc4fe9ebcbc9a94236abfdb012e70cd4543f0f2531f2d45d33724b5,1,8560a8caea162c70d1b3682c9954452f9d2b10bce392215a9b7539afeb7aa31c,f15825f50410cd126ea0c25c2602ed98404e0fbde3c1515c9c94f171eec42d6e
d10e3b40a0ce25a8bf41c02535f8130f55fdd9d13c4151483b621f90dbdca66e,2,9e2be2327b4e54da2bca82ce45544699d403fd927e49029ab0f92b273df5d619,2cc9832cd5590dba31af3bf7f574022a93326727b6e54b8652f1e2b2776dfb46
0332f70afb939293043efcae7125e4fd62a48e0afb3fd98b10f00762c290abc5,1,f15825f50410cd126ea0c25c2602ed98404e0fbde3c1515c9c94f171eec42d6e,4a828e260ac8369e37c11085b015f17609c8c93c885a0c6bab2b74d4419fbce6
db0e7dc780b6746401c48adebcaaef0e27eee09b04b088de7a417a2f65a23e05,1,83dd9e22aca56d7df36f5e87ff9782da4b74f77a8d0378623b7c2f992a07aefb,4a828e260ac8369e37c11085b015f17609c8c93c885a0c6bab2b74d4419fbce6
