synthetic_seller_uid,parent_seller_uid,parent_pair_uid,component_id,fold,review_label,track,seed,variant_index,transform,source_field,segment_index,text,source_market_raw,identifier_value,synthetic_train_only
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,primary,20260321,0,section_order_rotation,category_concat_top,0,数据,,,1
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,primary,20260321,0,section_order_rotation,signature_title_concat,0,今年京东商城网购数据_女性信息,,,1
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,primary,20260321,0,section_order_rotation,signature_title_concat,1,2020年8月出淘宝母婴类新鲜女性数据33万,,,1
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,primary,20260321,0,section_order_rotation,signature_title_concat,2,全国大城市业主个人房产数据优质人群,,,1
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,primary,20260321,0,section_order_rotation,signature_title_concat,3,最新宝妈精准数据16万母婴女性,,,1
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,primary,20260321,0,section_order_rotation,signature_title_concat,4,飞机乘客个人信息30万优质人群,,,1
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,primary,20260321,0,section_order_rotation,signature_title_concat,5,2020保健品客户购买信息13W新货,,,1
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,primary,20260321,0,section_order_rotation,title_concat_top,0,2020年8月出淘宝母婴类新鲜女性数据33万,,,1
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,primary,20260321,0,section_order_rotation,title_concat_top,1,2020保健品客户购买信息13W新货,,,1
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_000/negative/v00/left,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,primary,20260321,0,section_order_rotation,title_concat_top,2,飞机乘客个人信息30万优质人群,,,1
