synthetic_pair_uid,duplication_control_pair_uid,parent_pair_uid,parent_seller_uid_left,parent_seller_uid_right,component_id,fold,review_label,evidence_type,track,seed,variant_index,transform,left_profile_sha256,right_profile_sha256,parent_training_sample_weight,child_training_sample_weight,synthetic_train_only,benchmark_eligible
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_000/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_000/negative/v00/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_000/negative/v00,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,public_contact_or_url_noise,primary,20260320,0,section_order_rotation,192d9fb138e170d747d112b1632ac6369c266a06656ec6efd22c6ca25e8567f2,51b50f40975779e9e8d7345887bdff0704f7781205b9f4db0ded0d320b91b7e7,1.000000000000,0.250000000000,1,0
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_000/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_000/positive/v00/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_000/positive/v00,market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,market_item.xlsx|茶马古道|seller_raw:/shop/449035,market_item.xlsx|茶马古道|seller_raw:/shop/461222,zh_target_strict_cc_2e5c7caaf65dd8e0,0,positive,same_controller_direct_identifier,primary,20260320,0,section_order_rotation,2f1bf5b506852ece0272ba8e566b52149810af3c741d3e659f7541b55fe46b2c,9b016ee68d7fd9f4f42addbc9771417190a5afac31ee693fb8e678372414a891,1.000000000000,0.250000000000,1,0
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_000/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_000/negative/v01/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_000/negative/v01,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,market_item.xlsx|茶马古道|seller_raw:/shop/425704,market_item.xlsx|茶马古道|seller_raw:/shop/464140,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,public_contact_or_url_noise,primary,20260320,1,segment_order_permutation_with_layout_normalization,6d44e99f3227ab812138ab748d4fa507b833735bd5496eca6795dd9024d23ce5,262b5cf0897f39744c43f5033b6fb3e1a510ef04699577ee8b835a28f69dfafe,1.000000000000,0.250000000000,1,0
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_000/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_000/positive/v01/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_000/positive/v01,market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,market_item.xlsx|茶马古道|seller_raw:/shop/449035,market_item.xlsx|茶马古道|seller_raw:/shop/461222,zh_target_strict_cc_2e5c7caaf65dd8e0,0,positive,same_controller_direct_identifier,primary,20260320,1,segment_order_permutation_with_layout_normalization,de8d18654e5bdd7a35772d1e149b6117c3cc46d3b5ab50b6d699004fb680511e,220a90c936f96d79d3250bc37dcab5dd4eddb0fc9e30fd42ba71111e049cc226,1.000000000000,0.250000000000,1,0
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_001/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_001/negative/v00/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_001/negative/v00,market_item.xlsx|中文暗网交易市场|seller_raw:438221||market_item.xlsx|中文暗网交易市场|seller_raw:61106,market_item.xlsx|中文暗网交易市场|seller_raw:438221,market_item.xlsx|中文暗网交易市场|seller_raw:61106,zh_target_strict_cc_18a4e6bd2c1b0e47,2,negative,ordinary_negative,primary,20260320,0,section_order_rotation,438e3287ff7490abc6f4dd1fd47ad5010d5c564da52b4ff6e2339005720672fb,ad1cd9b8987a8154f760fb3ea7da64b5bb66e518d68428466338360a90d3a8ef,1.000000000000,0.250000000000,1,0
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_001/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_001/positive/v00/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_001/positive/v00,market_item.xlsx|茶马古道|seller_raw:/shop/440200||market_item.xlsx|茶马古道|seller_raw:/shop/450020,market_item.xlsx|茶马古道|seller_raw:/shop/440200,market_item.xlsx|茶马古道|seller_raw:/shop/450020,zh_target_strict_cc_9991bf542ace4262,2,positive,same_controller_style_structural_soft,primary,20260320,0,section_order_rotation,9926a7490596bb86af883eb59564079db5fa273675c30487f998475661d0afdf,e43058354d368b7615397ce02c70e3065cb40e2dfcc5fc3361915db5055a72c5,1.000000000000,0.250000000000,1,0
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_001/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_001/negative/v01/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_001/negative/v01,market_item.xlsx|中文暗网交易市场|seller_raw:438221||market_item.xlsx|中文暗网交易市场|seller_raw:61106,market_item.xlsx|中文暗网交易市场|seller_raw:438221,market_item.xlsx|中文暗网交易市场|seller_raw:61106,zh_target_strict_cc_18a4e6bd2c1b0e47,2,negative,ordinary_negative,primary,20260320,1,segment_order_permutation_with_layout_normalization,b74eecd8b5dd562790543e998e336ad9fcc613f36f093d81c8458ef579f3c66c,4f8fae83786618cbf4908e32a7073bf916364f942cc7812ca3e9c66ec3bc11a4,1.000000000000,0.250000000000,1,0
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_001/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_001/positive/v01/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_001/positive/v01,market_item.xlsx|茶马古道|seller_raw:/shop/440200||market_item.xlsx|茶马古道|seller_raw:/shop/450020,market_item.xlsx|茶马古道|seller_raw:/shop/440200,market_item.xlsx|茶马古道|seller_raw:/shop/450020,zh_target_strict_cc_9991bf542ace4262,2,positive,same_controller_style_structural_soft,primary,20260320,1,segment_order_permutation_with_layout_normalization,d49073b7f58c490b2d10b9332128f307bd3672b34da1d238aec0d50b43910c06,aed2276eaad07999f01498f6474c435d8799ad38cac83212d3024e0ef75bc721,1.000000000000,0.250000000000,1,0
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_002/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_002/negative/v00/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_002/negative/v00,market_item.xlsx|茶马古道|seller_raw:/shop/427282||market_item.xlsx|茶马古道|seller_raw:/shop/436862,market_item.xlsx|茶马古道|seller_raw:/shop/427282,market_item.xlsx|茶马古道|seller_raw:/shop/436862,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,ordinary_negative,primary,20260320,0,section_order_rotation,3235cec660e21b4aec22b9daacc4d1c52055dd2cbfa24c7a46fe416be6c5f74f,ac2f9614b9f5dd1f7889fbc5ec92fc1b8174d659c3f3ec16e66d82b372eec786,1.000000000000,0.250000000000,1,0
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_002/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_002/positive/v00/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_002/positive/v00,market_item.xlsx|中文暗网交易市场|seller_raw:264776||market_item.xlsx|茶马古道|seller_raw:/shop/385,market_item.xlsx|中文暗网交易市场|seller_raw:264776,market_item.xlsx|茶马古道|seller_raw:/shop/385,zh_target_strict_cc_5d2591f16cbcd99a,0,positive,same_controller_style_structural_soft,primary,20260320,0,section_order_rotation,f2556b08a1e27bde2004bfca9d7a7cc2dd0e83313bc610193a2250dca9d50d9d,fa9412ca0e35c83856b19753a3f5e60a57e7457b434a30e74dfed937578b0003,1.000000000000,0.250000000000,1,0
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_002/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_002/negative/v01/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_002/negative/v01,market_item.xlsx|茶马古道|seller_raw:/shop/427282||market_item.xlsx|茶马古道|seller_raw:/shop/436862,market_item.xlsx|茶马古道|seller_raw:/shop/427282,market_item.xlsx|茶马古道|seller_raw:/shop/436862,zh_target_strict_cc_2e5c7caaf65dd8e0,0,negative,ordinary_negative,primary,20260320,1,segment_order_permutation_with_layout_normalization,c9cdc874c8213532ce1db2ab4fea471d83c8a25f11df2b9b367411b253088f03,42f244c5d4ee71970bfacae931befc07ca185fc71b89ada0120820b0c0e8250a,1.000000000000,0.250000000000,1,0
synthetic://step27/v1_1/primary/seed_20260320/primary_matched_002/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260320/primary_matched_002/positive/v01/right,synthetic://step27/v1_1/duplication/primary/seed_20260320/primary_matched_002/positive/v01,market_item.xlsx|中文暗网交易市场|seller_raw:264776||market_item.xlsx|茶马古道|seller_raw:/shop/385,market_item.xlsx|中文暗网交易市场|seller_raw:264776,market_item.xlsx|茶马古道|seller_raw:/shop/385,zh_target_strict_cc_5d2591f16cbcd99a,0,positive,same_controller_style_structural_soft,primary,20260320,1,segment_order_permutation_with_layout_normalization,15ff2621f1c52858acb4a15f703f5ee83a309f5f6dc64a387d6295534b5dfa88,a61530bb4b1748a70d49a6d66bfd9f274b57a68ef5c22284169d1f8dd87f2b0d,1.000000000000,0.250000000000,1,0
